Triads,TPMA,TPMB,TPMC
Mhu01Ag00160_Mhu01Bg00110_Mhu01Cg00100,2.33333,2.91498,9.50994
Mhu01Ag00190_Mhu01Bg00120_Mhu01Cg00110,25.612,3.7011,5.65927
Mhu01Ag00210_Mhu01Bg00170_Mhu01Cg00130,21.4466,18.0639,48.1215
Mhu01Ag00320_Mhu01Bg00270_Mhu01Cg00240,3.63134,3.78748,2.33333
Mhu01Ag00360_Mhu01Bg00290_Mhu01Cg00260,53.9635,4.15244,6.67924
Mhu01Ag00370_Mhu01Bg00300_Mhu01Cg00280,6.24144,13.9286,2.533
Mhu01Ag00440_Mhu01Bg00350_Mhu01Cg00330,15.5084,12.3934,7.94087
Mhu01Ag00500_Mhu01Bg00410_Mhu01Cg00370,2.33333,2.33333,2.33333
Mhu01Ag00520_Mhu01Bg00420_Mhu01Cg00380,27.854,6.39595,23.3368
Mhu01Ag00570_Mhu01Bg00450_Mhu01Cg00400,2.33333,6.51194,2.42739
Mhu01Ag00580_Mhu01Bg00460_Mhu01Cg00410,24.727,54.2999,51.0262
Mhu01Ag00620_Mhu01Bg00490_Mhu01Cg00430,5.30628,5.12371,6.37303
Mhu01Ag00790_Mhu01Bg00550_Mhu01Cg00440,2.33333,2.33333,2.33333
Mhu01Ag00880_Mhu01Bg00590_Mhu01Cg00490,10.578,5.98785,9.31719
Mhu01Ag00930_Mhu01Bg00620_Mhu01Cg00510,2.33333,2.4207,10.8123
Mhu01Ag01030_Mhu01Bg00750_Mhu01Cg00590,2.33333,2.33333,2.33333
Mhu01Ag01170_Mhu01Bg00820_Mhu01Cg00630,2.34783,7.64277,2.33333
Mhu01Ag01210_Mhu01Bg00860_Mhu01Cg00690,2.33333,2.33333,2.33333
Mhu01Ag01260_Mhu01Bg00890_Mhu01Cg00710,49.2794,102.745,10.4237
Mhu01Ag01280_Mhu01Bg00900_Mhu01Cg00730,11.1783,8.56799,10.4692
Mhu01Ag01290_Mhu01Bg00910_Mhu01Cg00740,175.044,43.5183,168.292
Mhu01Ag01300_Mhu01Bg00920_Mhu01Cg00750,78.5708,43.0189,2.33333
Mhu01Ag01400_Mhu01Bg01070_Mhu01Cg00780,3.11317,4.66661,2.33333
Mhu01Ag01410_Mhu01Bg01080_Mhu01Cg00790,11.3659,10.5856,5.28231
Mhu01Ag01420_Mhu01Bg01090_Mhu01Cg00800,2.33333,2.53343,2.33333
Mhu01Ag01490_Mhu01Bg01130_Mhu01Cg00830,2.33333,2.33333,2.33333
Mhu01Ag01500_Mhu01Bg01140_Mhu01Cg00840,5.3833,2.33333,37.4756
Mhu01Ag01510_Mhu01Bg01150_Mhu01Cg00850,117.076,12.075,18.057
Mhu01Ag01580_Mhu01Bg01190_Mhu01Cg00870,4.83416,4.1966,5.41735
Mhu01Ag01700_Mhu01Bg01280_Mhu01Cg00910,2.33333,2.33333,3.07724
Mhu01Ag01710_Mhu01Bg01290_Mhu01Cg00920,22.2203,31.5919,26.1483
Mhu01Ag01720_Mhu01Bg01310_Mhu01Cg00940,2.67485,2.6766,2.33333
Mhu01Ag01740_Mhu01Bg01340_Mhu01Cg00960,2.33333,2.42139,2.33333
